mass_keV,sensitivity_yr
1100,2.934646322261e20
1100,2.8959343148712827e20
1100,5.5577514226102383e20
1100,6.464101402900861e20
1100,2.9207858810671904e20
1100,6.150760530900831e20
1100,3.841187584638706e20
1100,2.272072675773557e20
1100,6.358212075741223e20
1100,6.36267448792139e20
1100,9.395139658475105e20
1100,3.87686316640145e20
1100,6.72099810578358e20
1100,4.422338693385035e20
1100,1.358435176216473e21
1100,4.720723150352158e20
1100,5.0451100632734145e20
1100,4.3700352424232085e20
1100,3.753649066435887e21
1100,2.480359786458004e20
1100,3.9019293435595635e21
1100,1.330645256959435e22
1100,5.011334503843609e20
1100,2.8524541765936434e20
1100,2.512960290176416e21
1100,3.638173462334462e20
1100,3.0962284099942226e20
1100,4.635625574088074e20
1100,4.323488229445674e20
1100,4.0648593705498935e20
