mass_keV,sensitivity_yr
1300,4.3300185811314305e20
1300,3.478639248772957e20
1300,7.798665656371236e20
1300,5.7162700356781854e20
1300,5.3572494564217605e20
1300,5.706573441722952e20
1300,7.442665714796984e20
1300,7.137569210839749e20
1300,5.1558312766996624e20
1300,7.835992341905736e20
1300,5.267981117873576e20
1300,4.886457944401412e20
1300,6.595640315780428e20
1300,6.159457573254368e20
1300,3.5550240240430855e20
1300,3.007196797763338e20
1300,4.654028022598316e20
1300,4.678778150289648e20
1300,8.59762883326435e20
1300,5.6317547627280617e20
1300,7.066500418769597e20
1300,5.977045827427079e20
1300,3.804171140607106e20
1300,8.073465006313515e20
1300,3.8276264284268003e20
1300,5.60658399544145e20
1300,2.801693909245412e20
1300,6.351658856559028e20
1300,3.6825872773976136e20
1300,8.099793948803827e20
1300,6.114255327833879e20
1300,4.50347521558562e20
1300,2.3636521733400773e20
1300,5.260800468230361e20
1300,7.193381284424002e20
1300,1.037971155350164e21
1300,9.56964277411948e20
1300,6.269922463244635e20
1300,4.914196506175103e20
1300,5.66602784345873e20
1300,4.363114131201086e20
1300,6.303996977180981e20
1300,4.12694760307377e20
1300,8.170870410178015e20
1300,4.61302707743372e20
1300,5.677754282052406e20
1300,6.813232151634815e20
1300,4.422205806738468e20
1300,4.591697536633244e20
1300,2.7222149108264953e20
1300,1.3755044624117756e21
1300,3.2418221867509875e20
1300,4.397249762911999e20
1300,6.214006668221841e20
1300,7.559742416998443e20
1300,8.445224678804597e20
1300,7.2247526696931e20
1300,4.543705404873159e20
1300,8.227571624988672e20
1300,4.372629687297133e20
1300,5.7619465021114076e20
1300,8.129452671748302e20
1300,3.674729908790136e20
1300,6.444899424873145e20
1300,5.3646134956347313e20
1300,6.761168962120746e20
1300,3.019395811910709e20
1300,5.165377200416027e20
1300,4.844530740418443e20
1300,6.913097582163197e20
1300,4.747946362713983e20
1300,3.918853877896276e20
1300,7.531291185918711e20
1300,4.447862844966415e20
1300,3.8240474080700767e20
1300,6.163778243237914e20
1300,7.718328832350121e20
1300,7.481232050802675e20
1300,4.6520812382619704e20
1300,3.0807397721256283e20
1300,6.905421417167689e20
1300,6.199379650399371e20
1300,2.3391468103111184e20
1300,8.202263646908276e20
1300,6.128320436937657e20
1300,5.904663681510138e20
1300,6.947273379194641e20
1300,4.617998052849479e20
1300,5.179406436192191e20
1300,4.302785198600685e20
1300,6.063985951055265e20
1300,6.33033410897283e20
1300,9.678625261796082e20
1300,6.693161258302711e20
1300,8.78220188732534e20
1300,6.654628136341386e20
1300,6.381233204774211e20
1300,5.5652576993214235e20
1300,5.382062727331939e20
1300,9.17383050539459e20
1300,5.6173884727619106e20
1300,6.893186905559667e20
1300,8.163905892059463e20
1300,1.1708742587326764e21
1300,3.4966720258757047e21
1300,5.8444536381598735e20
1300,4.8644055827746154e20
1300,3.0457709534791775e20
1300,6.408242221307041e20
1300,6.594941446439406e20
1300,7.255219955601e20
1300,4.334618162403948e20
1300,5.662543641287013e20
1300,8.64700300408896e20
1300,5.670005382648226e20
1300,8.490143558344161e20
1300,7.199755036260654e20
