Esum,phi,eff
1150.0,152.5,1.63e-5
1150.0,157.5,1.3200000000000002e-5
1150.0,162.5,1.08e-5
1150.0,167.5,8.3e-6
1150.0,172.5,4.9000000000000005e-6
1150.0,177.5,2.4000000000000003e-6
1250.0,2.5,3.0000000000000004e-7
1250.0,7.5,6.000000000000001e-7
1250.0,12.5,1.5000000000000002e-6
1250.0,17.5,2.8000000000000003e-6
1250.0,22.5,3.7e-6
1250.0,27.5,5.9e-6
1250.0,32.5,8.400000000000001e-6
1250.0,37.5,1.11e-5
1250.0,42.5,1.24e-5
1250.0,47.5,1.26e-5
1250.0,52.5,1.69e-5
1250.0,57.5,1.6e-5
1250.0,62.5,2.12e-5
1250.0,67.5,2.1000000000000002e-5
1250.0,72.5,2.25e-5
1250.0,77.5,2.22e-5
1250.0,82.5,2.43e-5
1250.0,87.5,2.4900000000000002e-5
1250.0,92.5,2.72e-5
1250.0,97.5,2.6799999999999998e-5
1250.0,102.5,2.9500000000000002e-5
1250.0,107.5,2.78e-5
1250.0,112.5,2.7700000000000002e-5
1250.0,117.5,2.93e-5
1250.0,122.5,2.5100000000000004e-5
1250.0,127.5,2.81e-5
1250.0,132.5,2.58e-5
1250.0,137.5,2.58e-5
1250.0,142.5,2.5100000000000004e-5
1250.0,147.5,2.83e-5
1250.0,152.5,2.1000000000000002e-5
1250.0,157.5,1.93e-5
1250.0,162.5,1.6400000000000002e-5
1250.0,167.5,8.5e-6
1250.0,172.5,8.0e-6
1250.0,177.5,1.4000000000000001e-6
1350.0,2.5,5.0e-7
1350.0,7.5,8.000000000000001e-7
1350.0,12.5,2.2e-6
1350.0,17.5,4.1000000000000006e-6
1350.0,22.5,5.4e-6
1350.0,27.5,7.2000000000000005e-6
1350.0,32.5,1.02e-5
1350.0,37.5,1.47e-5
1350.0,42.5,1.59e-5
1350.0,47.5,1.7e-5
1350.0,52.5,1.7e-5
1350.0,57.5,1.94e-5
1350.0,62.5,2.3800000000000003e-5
1350.0,67.5,2.3e-5
1350.0,72.5,2.7700000000000002e-5
1350.0,77.5,2.6799999999999998e-5
1350.0,82.5,3.26e-5
1350.0,87.5,3.0e-5
1350.0,92.5,3.2500000000000004e-5
1350.0,97.5,3.46e-5
1350.0,102.5,3.47e-5
1350.0,107.5,3.3600000000000004e-5
1350.0,112.5,3.43e-5
1350.0,117.5,3.7600000000000006e-5
1350.0,122.5,3.26e-5
1350.0,127.5,3.44e-5
1350.0,132.5,3.49e-5
1350.0,137.5,2.96e-5
1350.0,142.5,3.21e-5
1350.0,147.5,2.6200000000000003e-5
1350.0,152.5,2.37e-5
1350.0,157.5,2.1000000000000002e-5
1350.0,162.5,1.6400000000000002e-5
1350.0,167.5,1.35e-5
1350.0,172.5,8.0e-6
1350.0,177.5,2.5e-6
1450.0,2.5,0.0
1450.0,7.5,9.000000000000001e-7
1450.0,12.5,2.5e-6
1450.0,17.5,4.0e-6
1450.0,22.5,6.699999999999999e-6
1450.0,27.5,1.04e-5
1450.0,32.5,1.24e-5
1450.0,37.5,1.49e-5
1450.0,42.5,1.98e-5
1450.0,47.5,1.9200000000000003e-5
1450.0,52.5,2.3100000000000002e-5
1450.0,57.5,2.82e-5
1450.0,62.5,2.9199999999999998e-5
1450.0,67.5,3.15e-5
1450.0,72.5,3.43e-5
1450.0,77.5,3.54e-5
1450.0,82.5,3.53e-5
1450.0,87.5,3.58e-5
1450.0,92.5,3.85e-5
1450.0,97.5,3.9800000000000005e-5
1450.0,102.5,3.99e-5
1450.0,107.5,4.2800000000000004e-5
1450.0,112.5,4.39e-5
1450.0,117.5,4.44e-5
1450.0,122.5,4.29e-5
1450.0,127.5,4.01e-5
1450.0,132.5,3.9e-5
1450.0,137.5,4.44e-5
1450.0,142.5,4.1400000000000003e-5
1450.0,147.5,3.66e-5
1450.0,152.5,3.09e-5
1450.0,157.5,2.61e-5
1450.0,162.5,2.08e-5
1450.0,167.5,1.4599999999999999e-5
1450.0,172.5,1.02e-5
1450.0,177.5,3.4e-6
1550.0,2.5,0.0
1550.0,7.5,1.4000000000000001e-6
1550.0,12.5,2.2e-6
1550.0,17.5,6.4000000000000006e-6
1550.0,22.5,9.600000000000001e-6
1550.0,27.5,1.13e-5
1550.0,32.5,1.55e-5
1550.0,37.5,1.94e-5
1550.0,42.5,2.26e-5
1550.0,47.5,2.4000000000000004e-5
1550.0,52.5,2.5e-5
1550.0,57.5,2.98e-5
1550.0,62.5,3.27e-5
1550.0,67.5,3.61e-5
1550.0,72.5,4.24e-5
1550.0,77.5,4.35e-5
1550.0,82.5,4.580000000000001e-5
1550.0,87.5,4.7600000000000005e-5
1550.0,92.5,4.65e-5
1550.0,97.5,5.08e-5
1550.0,102.5,5.3099999999999996e-5
1550.0,107.5,5.380000000000001e-5
1550.0,112.5,5.5400000000000005e-5
1550.0,117.5,5.26e-5
1550.0,122.5,5.35e-5
1550.0,127.5,4.970000000000001e-5
1550.0,132.5,4.99e-5
1550.0,137.5,4.630000000000001e-5
1550.0,142.5,4.89e-5
1550.0,147.5,4.11e-5
1550.0,152.5,3.83e-5
1550.0,157.5,3.6700000000000004e-5
1550.0,162.5,2.78e-5
1550.0,167.5,2.06e-5
1550.0,172.5,1.4400000000000001e-5
1550.0,177.5,4.500000000000001e-6
1650.0,2.5,2.0000000000000002e-7
